dataset,moxec_best_mcc_mean,flaml_mcc_mean,autogluon_mcc_mean,tpe_mcc_mean,tpe_phi_mean,tpe_cost_mean,faithfulness_sanity_rho,latency_proxy_rho
A1_dry_bean,0.918221071875107,0.9113203223882301,0.9128005131453455,0.9193509106735774,0.7673634796421691,1543.0,0.8333333333333335,0.7659609850368815
A2_mushroom,1.0,0.9987698247416198,0.9995894732345935,1.0,0.44736283024051554,3920.0,0.8571428571428572,-0.3592878785739777
A3_wine_quality,0.6330476161436761,0.6277664300297244,0.6064726293572958,0.6421302860040935,0.21159736582191324,431434.6666666667,1.0,0.8909090909090909
A4_landsat_satellite,0.904422562368091,0.9013372149566634,0.9015965926543291,0.9069367497016584,0.5526420236382864,148615.33333333334,0.7142857142857144,0.18787878787878787
A5_rice,0.8597724333258053,0.8650857476829126,0.8633470301879246,0.859888520042183,0.5387287001072542,815.3333333333334,0.9285714285714287,0.8916309815169778
A6_raisin,0.7456923105281015,0.7343660243076625,0.7162442131655505,0.7492185518865905,0.24958576152139256,4859.333333333333,0.9761904761904763,-0.709090909090909
M1_eeg_eye_state,0.9319517604953272,0.9149176437978138,0.9050811576136416,0.9426623539308233,0.4754587411744951,62752.666666666664,0.9523809523809524,0.709090909090909
M2_thyroid_disease,0.9787106706313802,0.9802937199067282,0.9652085429739722,0.9784756544277563,0.03792471220547373,26677.333333333332,0.9047619047619048,0.6606060606060605
M3_aids_clinical_trials,0.7140725261337497,0.7089371930476321,0.6805736206093561,0.7186220921794867,0.13400749833163952,55209.666666666664,0.9047619047619048,0.8753839828992931
M4_cardiotocography,0.8856414596003636,0.8662567333178713,0.8615253696013614,0.8878590159934449,0.21090312768029265,41249.0,0.6428571428571429,-0.13939393939393938
M5_obesity_levels,0.9718451589688466,0.9642163770415784,0.9550547760632423,0.9742416759236647,0.7701839417823981,109461.33333333333,0.9047619047619048,0.5393939393939393
M6_diabetic_retinopathy,0.5107892685401964,0.3359436285221607,0.3531471204454331,0.5249350949159933,0.25368581773642407,15.0,0.9047619047619048,0.4424242424242424
