dataset,domain,n_instances,n_classes,MOXEC (NSGA-II)_mean,MOXEC (NSGA-II)_std,Random Search (3-obj)_mean,Random Search (3-obj)_std,TPE (MCC-only)_mean,TPE (MCC-only)_std,moxec_wins_vs_random,moxec_wins_vs_tpe
A1_dry_bean,agriculture,13611,7,0.9095976709756238,0.031409572782810445,0.9084867439185458,0.030550877965382976,1.092805588018469,0.08881148545112753,True,False
A2_mushroom,agriculture,8124,2,0.7063185540636999,0.018782925736505165,0.7060389006270628,0.017758273054458852,0.7119206772101415,0.4074229083711621,True,False
A3_wine_quality,agriculture,6497,2,1.0111822157385,0.05860545976882542,1.0183074760335917,0.06963223299226669,0.3594757599807797,0.20417547165043914,False,True
A4_landsat_satellite,agriculture,6435,6,1.0793866674522727,0.019784719290639203,1.0605031603897495,0.005037986032245767,0.8214166446414501,0.2821751804299109,True,True
A5_rice,agriculture,3810,2,0.8637290563531262,0.04585244034280734,0.7814336808104896,0.05158903921417604,1.0552368595464878,0.14394240352587423,True,False
A6_raisin,agriculture,900,2,1.109859531685328,0.017118283339243586,1.108404068644334,0.036002606156589616,0.7401416550245118,0.20738135930154875,True,True
M1_eeg_eye_state,medical,14980,2,0.8937619481481809,0.013043100654011913,0.8893290974580772,0.03247310979910605,1.0400318031697664,0.10832427187442978,True,False
M2_thyroid_disease,medical,7200,3,0.7157971971962308,0.06950929608424858,0.7067149445793333,0.03702694206798114,0.2959436328424263,0.020360606123979188,True,True
M3_aids_clinical_trials,medical,2139,2,0.8930460602329431,0.019034663845664063,0.9986407046932597,0.08182215677896632,0.47830244242775893,0.1915242753049421,False,True
M4_cardiotocography,medical,2126,3,0.9709341481503188,0.011203982969718949,0.9568403679354933,0.02234789574583528,0.566631854690924,0.029971355472868656,True,True
M5_obesity_levels,medical,2111,7,1.0996293839012556,0.014976769457510978,1.1029985590320537,0.018825622370090986,0.778533557412989,0.10803701659825406,False,True
M6_diabetic_retinopathy,medical,1151,2,1.0127546193237136,0.03273070947305369,0.9813659818815924,0.03326102965382227,0.7002105551648538,0.03554505259559589,True,True
